176,P-1,32,P21/c,2,1.053
176,P-1,36,P212121,1,0.0
176,P-1,3,P212121,1,0.0
176,P-1,40,P21/c,2,1.102
176,P-1,44,P21/n,1,0.0
176,P-1,47,P21/c,1,0.0
176,P-1,55,P21/a,2,1.117
176,P-1,56,Pccn,3,0.559
176,P-1,5,P21/n,1,0.0
176,P-1,65,P212121,1,0.0
176,P-1,669,P6122,3,0.665
176,P-1,67,Pca21,1,0.0
176,P-1,68,Pca21,1,0.0
176,P-1,6,P-1,1,0.0
176,P-1,76,P21/a,2,0.599
176,P-1,94,P212121,3,0.499
176,P-1,95,P212121,3,0.498
176,P-1,9,P21,1,0.0
177,P21/a,108,C2/c,7,0.45
177,P21/a,115,C2/n,5,0.164
177,P21/a,11,P21/a,5,0.486
177,P21/a,135,P21,12,0.194
177,P21/a,13,P-1,3,0.163
177,P21/a,141,P212121,3,0.137
177,P21/a,16,P21/c,3,0.103
177,P21/a,173,Pna21,7,0.326
177,P21/a,176,P-1,3,0.166
177,P21/a,177,P21/a,15,0.0
177,P21/a,18,P21/n,3,0.093
177,P21/a,195,Pc,12,0.021
177,P21/a,19,P-1,5,0.902
177,P21/a,1,P-1,5,0.332
177,P21/a,20,P21/a,3,0.07
177,P21/a,232,P21/c,3,0.146
177,P21/a,24,P21/n,5,0.595
177,P21/a,26,C2/c,3,0.145
177,P21/a,27,P21/n,3,0.193
177,P21/a,30,P21/c,5,0.542
177,P21/a,32,P21/c,3,0.055
177,P21/a,36,P212121,3,0.08
177,P21/a,3,P212121,5,0.401
177,P21/a,40,P21/c,5,0.306
177,P21/a,44,P21/n,6,0.824
177,P21/a,47,P21/c,3,0.157
177,P21/a,55,P21/a,5,0.19
177,P21/a,56,Pccn,3,0.754
177,P21/a,5,P21/n,5,0.334
177,P21/a,65,P212121,3,0.021
177,P21/a,669,P6122,3,0.727
177,P21/a,67,Pca21,3,0.037
177,P21/a,68,Pca21,5,0.196
177,P21/a,6,P-1,5,0.324
177,P21/a,76,P21/a,3,0.02
177,P21/a,94,P212121,11,0.479
177,P21/a,95,P212121,11,0.478
177,P21/a,9,P21,5,0.387
18,P21/n,108,C2/c,3,0.127
18,P21/n,115,C2/n,3,0.069
18,P21/n,11,P21/a,5,0.594
18,P21/n,135,P21,3,0.099
18,P21/n,13,P-1,5,0.208
18,P21/n,141,P212121,5,0.146
18,P21/n,16,P21/c,13,0.14
18,P21/n,173,Pna21,3,0.203
18,P21/n,176,P-1,1,0.0
18,P21/n,177,P21/a,3,0.093
18,P21/n,18,P21/n,15,0.0
18,P21/n,195,Pc,3,0.081
18,P21/n,19,P-1,5,0.172
18,P21/n,1,P-1,3,0.097
18,P21/n,20,P21/a,5,0.296
18,P21/n,232,P21/c,7,0.107
18,P21/n,24,P21/n,11,0.224
18,P21/n,26,C2/c,7,0.203
18,P21/n,27,P21/n,5,0.138
18,P21/n,30,P21/c,5,0.367
18,P21/n,32,P21/c,5,0.053
18,P21/n,36,P212121,5,0.088
18,P21/n,3,P212121,7,0.108
18,P21/n,40,P21/c,3,0.175
18,P21/n,44,P21/n,3,0.119
18,P21/n,47,P21/c,3,0.066
18,P21/n,55,P21/a,3,0.103
18,P21/n,56,Pccn,2,0.616
18,P21/n,5,P21/n,3,0.096
18,P21/n,65,P212121,5,0.111
18,P21/n,669,P6122,1,0.0
18,P21/n,67,Pca21,5,0.18
18,P21/n,68,Pca21,3,0.114
18,P21/n,6,P-1,3,0.096
18,P21/n,76,P21/a,5,0.172
18,P21/n,94,P212121,3,0.03
18,P21/n,95,P212121,3,0.03
18,P21/n,9,P21,7,0.102
195,Pc,108,C2/c,5,0.343
195,Pc,115,C2/n,3,0.134
195,Pc,11,P21/a,5,0.491
195,Pc,135,P21,9,0.216
195,Pc,13,P-1,3,0.151
195,Pc,141,P212121,3,0.132
195,Pc,16,P21/c,3,0.092
195,Pc,173,Pna21,7,0.381
195,Pc,176,P-1,3,0.169
195,Pc,177,P21/a,12,0.021
195,Pc,18,P21/n,3,0.081
195,Pc,195,Pc,15,0.0
195,Pc,19,P-1,3,0.16
195,Pc,1,P-1,7,0.596
195,Pc,20,P21/a,3,0.058
195,Pc,232,P21/c,3,0.137
195,Pc,24,P21/n,3,0.117
195,Pc,26,C2/c,3,0.134
195,Pc,27,P21/n,3,0.186
195,Pc,30,P21/c,5,0.535
195,Pc,32,P21/c,3,0.041
195,Pc,36,P212121,3,0.074
195,Pc,3,P212121,3,0.085
195,Pc,40,P21/c,3,0.252
195,Pc,44,P21/n,4,0.897
195,Pc,47,P21/c,3,0.145
195,Pc,55,P21/a,3,0.181
195,Pc,56,Pccn,2,0.659
195,Pc,5,P21/n,7,0.596
195,Pc,65,P212121,3,0.03
195,Pc,669,P6122,1,0.0
195,Pc,67,Pca21,3,0.048
195,Pc,68,Pca21,3,0.191
195,Pc,6,P-1,7,0.596
195,Pc,76,P21/a,3,0.029
195,Pc,94,P212121,7,0.479
195,Pc,95,P212121,7,0.478
195,Pc,9,P21,3,0.082
19,P-1,108,C2/c,3,0.049
19,P-1,115,C2/n,3,0.071
